"","edge_liked_by.count","edge_media_to_caption.edges","shortcode","tags","Year"
"209",562,"[{'node': {'text': 'The future soccer stars of South Sudan and Uganda are playing on one of the many fields in Bidibidi Refugee Settlement. According to UNHCR 60% of the refugees fleeing South Sudan are children. Like in all Ugandas refugee settlements the young population in Bidibidi is very high; many classes have up to 250 pupils and big families are growing for each time a child loses its parents and is taken care of by others. Bidibidi is with its more than 270 000 people considered one of the worlds largest refugee settlements.'}}]","Bsapj0Ihq1B","[]","2019"
"210",885,"[{'node': {'text': 'Simon Ayole, 13 years old, is holding up a motorcycle driver made out of clay in Bidibidi Refugee Settlement. \rAccording to UNHCR 60% of the refugees fleeing South Sudan are children. Like in all Ugandas refugee settlements the young population in Bidibidi is very high; many classes have up to 250 pupils and big families are growing for each time a child loses its parents and is taken care of by others. Leaving their home during shootings and without bringing anything these self made phones, trucks or dolls out of clay become their only toys. \nOn assignment for @natgeo Sep-Oct 2018'}}]","BsYjQZPhrfi","[]","2019"
"211",131,"[{'node': {'text': 'The Refugee Camps I experienced in Uganda surprised me.\n\nFrom what we see on the news and front pages of articles I was given a picture of what I thought these camps were going to look like. After some time went by as we were headed to one I was told we were close- then maybe 30 min later I asked, “where are these camps?!” And we were already in them!\n\nBeautiful Sudanese people with horrific stories of life&war back home fill land of Uganda. They have made themselves at home- they have to, they have no where else to go. And what they have done with their skill, hard work, & perspective is beautiful.\n\nSudanese Refugees eat what they grow so as we spent time in & around homes we got to see many gardens. Some thriving, some dried up from the sun. I started to notice these beautiful guys🌻 and thought “hmm what are these used for?”. They may be used for their seeds but I’m pretty convinced they are used for •pure enjoyment•\n- to be reminded of the beauty on this earth, even in the worst of situations - like being run out of your own home, neighborhood, & country with nothing but maybe your family members hand.\n\nI’m proud of the Sudanese people I got to know. They taught me so much. They are determined, positive & joyful children of the King. 🇺🇬'}}]","BsRrxfaAnAn","[]","2019"
"212",59,"[{'node': {'text': 'Teaching Twajiji Primary School teachers how to use our curriculum program! Over the next 6 months, TWSB will train teachers to use the system before full project implementation in July! #EmpowerEducation #refugees #impact'}}]","BsQmhQ4Huza","['EmpowerEducation', 'refugees', 'impact']","2019"
"213",107,"[{'node': {'text': 'I work with inspiring people and we do some impactful work!\n\n@thewalkingschoolbus is collaborating with @unhcruganda to improve access to #education and #healthcare! So excited to continue making meaningful impact and honoured to be part of this uplifting team. #2019 is looking great!! Check out TWSB and learn more! thewalkingschoolbus.com'}}]","BsMdej5lZYn","['education', 'healthcare', '2019']","2019"
"214",70,"[{'node': {'text': 'An inspiring and humbling day at the Bidibidi Refugee Settlement. We will be putting down our first Solar Power Classroom through our #UNHCR collaboration in July!\n\nWatch our story to learn more! #Impact #EmpowerEducation #Refugees'}}]","BsJhlPano80","['Refugees', 'UNHCR', 'EmpowerEducation', 'Impact']","2019"
"215",44,"[{'node': {'text': 'Empezamos el año teniendo presente el deseo de #VíctorMandela y de muchos otros niños en el mundo es poder estudiar.\nVíctor Mandela como embajador de la mirada de millones de niñ@s alrededor del mundo, desplazados forzosos de sus casas, es la voz de todos los que quieren ir a la escuela como medio de transformación para sus vidas.\nEstá en nuestras manos, entre todos es posible.\nCon muy poco entre muchos podemos cambiar el mundo.\n\nToda la info para sumarte en nuestras webs (links en la bio) \nwww.nzuri-daima.org\nwww.victormandela.org  #TuMiradaCambiaElMundo #CambiarElMundoEsCosaDeNiños #TeTiendoLaMano #Bidibidi #VíctorMandela #África  #NzuriDaima'}}]","BsG93pwId4L","['Bidibidi', 'TuMiradaCambiaElMundo', 'VíctorMandela', 'CambiarElMundoEsCosaDeNiños', 'África', 'TeTiendoLaMano', 'NzuriDaima']","2019"
"216",47,"[{'node': {'text': 'Feliz Año Nuevo a todos. No decimos que vaya a ser fácil... Aunque sabemos que valdrá la pena. ❤\n\n#FelizCooperativo2019 #TuMiradaCambiaElMundo #CambiarElMundoEsCosaDeNiños #TeTiendoLaMano #Bidibidi #VíctorMandela #África #PinkRevolution #CoroSafari #NzuriDaima'}}]","BsEDwaQoN0Y","['PinkRevolution', 'Bidibidi', 'TuMiradaCambiaElMundo', 'VíctorMandela', 'CambiarElMundoEsCosaDeNiños', 'África', 'TeTiendoLaMano', 'CoroSafari', 'FelizCooperativo2019', 'NzuriDaima']","2018"
"217",651,"[{'node': {'text': 'Patrick Papa, 12, is working in a shop on his aunt Ronas plot in Bidibidi. In the second picture you see Roda with her five children and her nephew Patrick. Home in South Sudan she was running a big food store but lost her savings to the rebels on the way to Uganda. ”My oldest son should be in school but he’s been sitting at home for two years since there are no more classes in Bidibidi and I can’t afford the school fee. Home he would have a job or be able to go to university.” Roda told me in February 2018. In October she managed to sell some bedsheets called Milaya and used the money to send her son back to school.'}}]","BsDRncJhNqo","[]","2018"
"218",300,"[{'node': {'text': 'Proverbs 16.3 \nCommit your work to the Lord, and your plans will be established. \nBenny has proclaimed this verse that has been written on his heart our whole relationship.\n\nIt’s truth that lifts the weight off of our shoulders that act like they can carry it all!\n\nThankful that I know&serve a God who’s got it all figured out, in [His] perfect timing.\n.\nProud of you babe! I’ve witnessed you surrender every part of your life, especially your career. Because of your obedience you have walked through amazing doors that no man could have opened for you.\n.\nFollowing Christ doesn’t look anything like following this world.\nIt’s a relationship full of growing🌱and it’s not always pretty and glamorous, what truly matters is what’s on the inside- God, your creator sees you and your heart!\n.\nBenny would have never expected Africa being apart of his story. God did though and little by little, day by day, yes by yes, God opened doors! He&I got back from Uganda on the 8th and now he’s headed back to experience many more countries in Africa!\n\nHe’s on tour with the amazing @christafariband !🌍💥✨\nBenny you’re a great example of committing and surrendering your work to the Lord. Excited to see what you create and hear all about what God does through you and the band! Shine bright babe!'}}]","Br9A1gJAbs3","[]","2018"
"219",834,"[{'node': {'text': 'Have you ever wondered how to work with video when always being surrounded by 20+ kids asking for their photo to be taken? Asha is not only an amazing hard working mother, student and translator but also, like Nina wrote in the latest @natgeo story, seems to be related to half the camp. \n______\n\nSince Asha came to Bidibidi in 2016 she had been translating for NGOs  a couple of times. So in summer last year I drove down to her plot to see if she wanted to work with me on my first @natgeo piece. \n______\n\nMore than a year later we got to work together again, here at the last day of the recent project I Bidibidi. Having a bunch of happy kids around is as wonderful as exhausting. I’m amazed by all the strong mothers I’ve meet in the refugee settlement and by the joyful kids themself. How they ,the moment Asha tells them, line up to watch whatever I’m taking pictures of or am filming, to seconds later proudly pose for a group photo, watch the picture and then run off to continue playing.'}}]","Br2d-7xhGgl","[]","2018"
"220",1265,"[{'node': {'text': 'James Lokusan, 10, holds a truck he made out of a box from the food distribution. For more pictures from the new\xa0@natgeo\xa0feature and a great text by\xa0@ninasabina24\xa0check out the Toy story.\xa0\n______\n\nIn Bidibidi, a remote refugee settlement in Uganda, South Sudanese kids create their own entertainment from mud, paper, and plastic. Here cardboard boxes from shipments of humanitarian supplies get a second chance as toy cars, trucks, and buses.\xa0\n______\n\nThese kids would have been the first generation to grow up in an independent South Sudan, if war hadn’t so quickly dispelled them. Today, more than 1 million children have fled the country, building new lives in refugee camps scattered in Uganda and other neighbors of South Sudan. Even in the most remote places, kids learn how to entertain themselves and for the nearly 200,000 children living in Bidibidi the malleable red dirt provides something to play with.'}}]","BrvFARTh1tr","[]","2018"
"221",7,"[{'node': {'text': 'Refugee in yeti da wne 4 straig 2day'}}]","BrqO19EnWQn","[]","2018"
"222",1411,"[{'node': {'text': 'Isaac Lemi, 13, holds a toy bus he made out of a box from the World Food Program. For more pictures from the new @natgeo feature and a great text by @ninasabina24 check out the Toy story. \n______\n\nIn Bidibidi, a remote refugee settlement in Uganda, South Sudanese kids create their own entertainment from mud, paper, and plastic. Here cardboard boxes from shipments of humanitarian supplies get a second chance as toy cars, trucks, and buses. \n______\n\nThese kids would have been the first generation to grow up in an independent South Sudan, if war hadn’t so quickly dispelled them. Today, more than 1 million children have fled the country, building new lives in refugee camps scattered in Uganda and other neighbors of South Sudan. Even in the most remote places, kids learn how to entertain themselves and for the nearly 200,000 children living in Bidibidi the malleable red dirt provides something to play with.'}}]","BrnTXpBhcV3","[]","2018"
"223",26,"[{'node': {'text': 'Quality education starts from the well-being of teachers. Tiko Rukia from Para Primary School in Bidibidi refugee settlement in Uganda is relieved after moving into a new teacher’s accommodation.\n\nTeachers in Northern Uganda have long lived in tents during the refugee crisis, and learning materials have been stored with them. Heavy rains could easily soak books and papers as well as private possessions like clothes, frustrating teachers. Rukia says the new accommodation built by FCA with @eu_echo funding is a great improvement for her, although teachers still have to share rooms until more buildings are completed. ”I sleep well now and feel well-rested in class”, Rukia says.\n\n#QualityEducation #Right2Education #education #teachers #change #school #development #teacher\n\nPhotos: Patrick Meinhardt @patrick.meinhardt'}}]","BrmpWUUnlZa","['school', 'teachers', 'development', 'education', 'Right2Education', 'change', 'QualityEducation', 'teacher']","2018"
"224",18,"[{'node': {'text': 'Break tea with Pancakes.\n#ItsallaboutLove'}}]","Brkm0dWl1PJ","['ItsallaboutLove']","2018"
"225",14,"[{'node': {'text': 'Love is sharing \n#Christmasparty'}}]","BrkmgTCl0hs","['Christmasparty']","2018"
"226",45,"[{'node': {'text': 'Playing with the children in the refugee camp .Christmas is a time to love and have hope .Am glad had the opportunity to  travel 12 hours go share love to new #Hope of SouthSudan.\n#Loveatallcost \n#Christmasparty'}}]","Brkj8jWFotT","['Christmasparty', 'Loveatallcost', 'Hope']","2018"
"227",35,"[{'node': {'text': 'Christmas party with our South Sudan #Nextgeneration\n#Love \n#Hope'}}]","BrkjpAgFVhJ","['Nextgeneration', 'Love', 'Hope']","2018"
"228",1534,"[{'node': {'text': 'Alafi John, 11, is holding up a a clay man pushing a wheelbarrow. For more pictures from the new @natgeo feature and a great text by @ninasabina24 check out the Toy story. \n_____\n\nIn Bidibidi, a remote refugee settlement in Uganda, South Sudanese kids create their own entertainment from mud, paper, and plastic. Here cardboard boxes from shipments of humanitarian supplies get a second chance as toy cars, trucks, and buses. \n_____\n\nThese kids would have been the first generation to grow up in an independent South Sudan, if war hadn’t so quickly dispelled them. Today, more than 1 million children have fled the country, building new lives in refugee camps scattered in Uganda and other neighbors of South Sudan. Even in the most remote places, kids learn how to entertain themselves and for the nearly 200,000 children living in Bidibidi the malleable red dirt provides something to play with.'}}]","BrkY39JhmGP","[]","2018"
"229",2009,"[{'node': {'text': 'Susan James, 10, and her clay doll in Bidibidi refugee settlement. For more pictures from the new @natgeo feature and a great text by @ninasabina24 check out the Toy story. \n_____\n\nIn Bidibidi, a remote refugee settlement in Uganda, South Sudanese kids create their own entertainment from mud, paper, and plastic. Here cardboard boxes from shipments of humanitarian supplies get a second chance as toy cars, trucks, and buses. \n_____\n\nThese kids would have been the first generation to grow up in an independent South Sudan, if war hadn’t so quickly dispelled them. Today, more than 1 million children have fled the country, building new lives in refugee camps scattered in Uganda and other neighbors of South Sudan. Even in the most remote places, kids learn how to entertain themselves and for the nearly 200,000 children living in Bidibidi the malleable red dirt provides something to play with.'}}]","BripRHmBYfc","[]","2018"
"230",45,"[{'node': {'text': 'Contentos de abrir la Ventana 17 del calendario de advento. ¿Recordáis a nuestro joven Kennedy? Un refugiado sursudanes al que le dimos la oportunidad de luchar por sus sueños becandolo en una escuela fuera de los campos.\nDesde hace un par de meses tienen una madrina de verdad, y el demuestra la convicción de sus sueños y su lucha habiendo quedado el primero de toda su promoción de 145 alumnos!\nOs animamos a ayudarnos a cambiar vidas, a construir futuro, becando un estudiante de secundaria.\nSin duda, para los afortunados, ¡será el mejor regalo d reyes!\n#NzuriDaima #VictorMandela #VictorMandelaPhoto #Uganda #Refugees #refugeesstories #TeTiendoLaMano #JuntosSomosMás\n#Refugees #Bidibidi #África'}}]","BrgS2VqAzRV","['VictorMandela', 'Bidibidi', 'JuntosSomosMás', 'Uganda', 'África', 'TeTiendoLaMano', 'Refugees', 'refugeesstories', 'NzuriDaima', 'VictorMandelaPhoto']","2018"
"231",578,"[{'node': {'text': ""Behind the scenes at this year's Photo Camp in Uganda: Photographer @ronan_donovan works with students at the Bidi Bidi refugee settlement on the border with South Sudan. This Photo Camp, which helped displaced students tell their stories through photography, was made possible with support from @insidenatgeo. Photo: Kirsten Elstner (@kirstenelstner)""}}]","Brf30brHmZT","[]","2018"
"232",94,"[{'node': {'text': 'Retrato de Grace Sunday, refugiada sursudanesa en Uganda. Bidibidi es el mayor campo de refugiados, en extensión, del mundo. Acoge a 300.000 PERSONAS y el 85% son mujeres y niños. https://www.elsaltodiario.com/africa/mi-unico-equipaje-era-mi-barriga-de-embarazada- 📷 @mtxellprats'}}]","BrfomTenm4N","[]","2018"
"233",46,"[{'node': {'text': 'Vararehtori Lucy Lekuru joutui muuttamaan uuteen telttaan Bidibidin pakolaisasutusalueella Pohjois-Ugandassa, kun vanha romahti rankkasateiden aikana. Vielä muutamaa viikkoa aiemmin kankaiden alta telttaan luikerteli myrkyllinen kobra, jonka opettajat häätivät yhteisvoimin. \nNipatan yläkoulun tilat ovat myös telttoja, ja rankkasateet voivat häiritä oppitunteja. Lekuru iloitsee siitä, että koulun puitteet ovat kuitenkin paranemassa – rakennusmateriaalit ovat juuri saapuneet ja työt alkaneet. \nKUA rakentaa Bidibidissä paitsi kouluja myös majoituksia opettajille. Koulutuksen laatu on pitkälti opettajista kiinni, ja mitä paremmissa oloissa he nukkuvat sitä virkeämpinä he opettavat. \n#LaadukasKoulutus #OikeusKoulutukseen #opettaja #Uganda #Bidibidi \nKuvat: Patrick Meinhardt @patrick.meinhardt'}}]","BrfWOmgh7rC","['Bidibidi', 'LaadukasKoulutus', 'Uganda', 'OikeusKoulutukseen', 'opettaja']","2018"
"234",13,"[{'node': {'text': 'Heavy rainfall forced Deputy Head Teacher Lucy Lekuru to move after her tent collapsed in Bidibidi refugee settlement in Northern Uganda. Only a few weeks earlier, the teachers had to deal with a venomous cobra that had slithered into Lekuru’s tent.\nEven the classrooms at Nipata Secondary School are tents. Heavy rains can disrupt classes, but Lekuru thinks the situation will improve now that new construction materials have arrived and workers improve the structures. \nFCA constructs both schools and teacher accommodation in Bidibidi. Much of the quality of education depends on teachers, and proper living conditions is directly linked to better lessons at school. \n#QualityEducation #Right2Education #teachers #photography #Uganda #Bidibidi\n\nPhotos: Patrick Meinhardt @patrick.meinhardt'}}]","BrfV0uHHARf","['teachers', 'Bidibidi', 'photography', 'Right2Education', 'Uganda', 'QualityEducation']","2018"
"235",5,"[]","BrX6adMhGJO",NA,"2018"
"236",34,"[{'node': {'text': '#shelter #tent #tarp #bidibidi #unhcr #fca #twofaces #peek #lookingatcamera #branchshadows #detail #blackandwhitephotography #documentaryphotography #uganda'}}]","BrIZ-WqBlWk","['detail', 'unhcr', 'peek', 'branchshadows', 'shelter', 'documentaryphotography', 'tarp', 'fca', 'twofaces', 'uganda', 'tent', 'blackandwhitephotography', 'lookingatcamera', 'bidibidi']","2018"
"237",131,"[{'node': {'text': '•Africa 2018•\nHonestly, I’m blessed beyond words. Thank you Jesus for Your unending grace 🙏🏽'}}]","BrGu3ELHdNz","[]","2018"
"238",38,"[{'node': {'text': 'Sensacional.'}}]","BrDR02JAAN8","[]","2018"
"239",71,"[{'node': {'text': 'Food distribution day at Bidi Bidi Refugee settlement in Northern Uganda.\n.\n#Uganda #africa #refugee #unhcr #bidibidi #yumbe #refugeestories #refugeeswelcome #refugeeparadise #fooddistribution #food #film #documentary #documentaryfilm #eastafrica'}}]","BrAkQKIF3gm","['yumbe', 'food', 'unhcr', 'refugeeparadise', 'eastafrica', 'refugee', 'Uganda', 'africa', 'documentary', 'fooddistribution', 'film', 'refugeeswelcome', 'refugeestories', 'documentaryfilm', 'bidibidi']","2018"
"240",186,"[{'node': {'text': 'A young girl looks on along a barbed wire fence at a health centre in bidibidi refugee camp....\n.\n.\n.\n@everydayrefugees @refugees #refugeemothers #thepeoplewemet #people_infinity #humanity_shots_ #everydayafrica  #africanphotojournalism\xa0#humanity_shots #african_portraits\xa0#refugees #visualsoflife #gettyimagesreportage #africaaroundme\xa0#vscouganda #africandocumentary #documentaryphoto #magnumphoto #ngophotography\xa0#photojournalism #wikilovesafrica\xa0#africanart\xa0#nikonafrica\xa0#everydayeverywhere\xa0#humanitarianphotography #workinafrica #storytelling #reportagespotlight@sonacircleapp\n@refugeesintl'}}]","Bq6hOR9Fv6f","['magnumphoto', 'africanphotojournalism', 'humanity_shots', 'vscouganda', 'everydayeverywhere', 'wikilovesafrica', 'reportagespotlight', 'storytelling', 'africanart', 'africaaroundme', 'visualsoflife', 'refugees', 'refugeemothers', 'africandocumentary', 'workinafrica', 'ngophotography', 'nikonafrica', 'gettyimagesreportage', 'humanity_shots_', 'african_portraits', 'people_infinity', 'everydayafrica', 'thepeoplewemet', 'photojournalism', 'humanitarianphotography', 'documentaryphoto']","2018"
"241",17,"[]","Bq5WrHDg8AV",NA,"2018"
"242",1037,"[{'node': {'text': 'Irene Sonia was one of the first girls I met I Bidibidi last year and became a dear friend. She loved posing in front of the camera and telling stories of the life back home in South Sudan. The second time we met she took me by the hand, showed me around in her neighborhood of the refugee settlement and introduced me to all her friends as her new sister. Now it’s almost been a year that she and her twin sister Charity went back to study in Juba and I’ve only spoken to her a few times when she managed to get hold of a phone. I hope we’ll meet again Soni ❤️'}}]","Bq28cBqhBmk","[]","2018"
"243",42,"[{'node': {'text': 'Budujemy w Twajiji. To jedna z trzech lokalizacji, w których stawiamy nowe ośrodki zdrowia, wszystkie na terenie jednego z największych na świecie obozów dla uchodźców. Zwiększymy tym samym znacznie standard świadczonej opieki zdrowotnej, więc zakasać do pracy rękawy warto. @FundacjaPCPM 🔺'}}]","Bq2iNlfFywK","[]","2018"
"244",34,"[{'node': {'text': 'Measure of hunger.'}}]","BqysVJslfh6","[]","2018"
"245",134,"[{'node': {'text': 'It is not the building, it is the people.'}}]","BqxJlbohGzF","[]","2018"
"246",139,"[{'node': {'text': 'just when you thought you were free of baby goat pictures #nope #never | #freethebabygoatsofyumbe #35mm #canon #canonae1 #film'}}]","Bqszw_uFoD8","['35mm', 'canon', 'canonae1', 'nope', 'film', 'never', 'freethebabygoatsofyumbe']","2018"
"247",40,"[{'node': {'text': 'Falando sobre a criação!! Tempo de alegria, crescimento e comunhão. #missoes #ide #chamado #africa'}}]","BqrXHtYA4R-","['missoes', 'ide', 'africa', 'chamado']","2018"
"248",56,"[{'node': {'text': 'Jesus. \nTo the afflicted, peace. \nTo the abandoned, love. \nTo the forgotten, joy. \nTo the broken, healing. \nTo the tormented, rest. \nTo the homeless, a refuge. \nTo the sinner, forgiveness. To the hopeless, hope. \nJesus is all that the world needs. Whether rich or poor, known or unknown, afraid or confident, only Christ can satisfy and bring hope for eternity. \n#promisechild #1040window #education #investment #hope #bible #gospel #jesuschrist #refugee #uganda #southsudan #africa #go #seek'}}]","BqnvbdnBHd0","['jesuschrist', 'southsudan', 'hope', 'bible', 'refugee', '1040window', 'promisechild', 'education', 'uganda', 'africa', 'investment', 'gospel', 'go', 'seek']","2018"
"249",34,"[{'node': {'text': 'Após um mês de África e lendo um relatório de quantas pessoas alcançamos neste tempo e saber que aproximadamente 3.075, ouviram e 122 reconheceram a Jesus como Senhor,trouxe alegria ao meu coração, mas... me lembrei fortemente de uma conversa com uma grande amiga, que após um seminário eu perguntei como ela se sentia... e ela prontamente me respondeu: “Como uma serva inútil” e não entendi muito bem naquele momento. Mas hoje entendo perfeitamente e me senti como ela, Pois Por mais que sinta alegria e me sinta privilegiada.... o sentimento real é “sou inútil”. pois estou  apenas cumprindo  o que me foi ordenado !! “Ide por todo mundo....” #missões #ide #chamado'}}]","Bqm735Ag9N4","['ide', 'chamado', 'missões']","2018"
"250",43,"[{'node': {'text': '#girlpower😍#bidibidi #southsudaneserefugees #uganda'}}]","BqaVZkYBI9b","['uganda', 'girlpower', 'southsudaneserefugees', 'bidibidi']","2018"
"251",17,"[{'node': {'text': '#bidibidi #visitingschool #southsudanese #uganda @jauwi'}}]","BqaUip4hTca","['southsudanese', 'uganda', 'bidibidi', 'visitingschool']","2018"
"252",11,"[{'node': {'text': 'WOMF\'s Week of Gratitude!\n\nOur National Director of South Sudan, James says, ""I am thankful for having a great mentors to learn from. This year I\'m thankful for Gods grace & his love that has given me a new life in Jesus Christ. Also to know the purpose & hope that He has created me for.\nI am thankful for my wife, who has stood by me in ministry since 2004.\nI am thankful for Gods provision to South Sudan Christian Outreach Ministry to see that people are growing spiritually.\nLastly I am thankful for the health of my family & for taking the Gospel of our Lord Jesus Christ to the people in our community (refugee camp).""\n#Thanksgiving2018 #SouthSudan #WOMF'}}]","BqXvobEgGzu","['Thanksgiving2018', 'WOMF', 'SouthSudan']","2018"
"253",5,"[{'node': {'text': 'I came expecting misery and despair. \nWhat I discovered was beauty and dignity—resilience and hope. \nOver and over, triumphs of the human spirit.“ —Eric Harr, Co-Founder & CEO'}}]","BqT1oVDHaJ9","[]","2018"
"254",35,"[{'node': {'text': ""Saturday morning with members of the UK Parliament, supporting their visit to one of UNICEF's Child Friendly Spaces.""}}]","BqSX1Iuj5iX","[]","2018"
"255",18,"[{'node': {'text': 'I see you my loves, I ♥ you nyoooo'}}]","BqHGPPtnsGV","[]","2018"
"256",59,"[{'node': {'text': 'Cash for work💰⛏🌻\nNoget, der måske lyder underforstået, men i Bidi Bidi er dette et princip, der giver både muligheder for fremtiden, og en mulighed for værdighed. Ovenfor ses både billeder af vejrydning og forskelligt ‘havearbejde’-projekter. Al sammen projekter man som flygtning i Bidi Bidi kan ansøge om deltagelse i, hvorefter de udvalgte enten får et betalt arbejde, eller tildelt et stykke jord, som de i fællesskab med andre kan dyrke og omsætte til en indkomst. Motivationerne for deltagelse i de forskellige projekter er mange: at forsørge familier, at spare op til skolebøger, at udnytte den business-forståelse, man har med sig fra Sydsudan, og mange flere. \nVi forventede at møde en masse mennesker, der var der, for at tjene penge til sig selv men primært deres familier. Hvilket også var det, vi mødte. Men vi mødte også en del, der gennem projekterne havde fundet noget at stå op til, og en distraktion fra den potentielt farlige kedsomhed der kan opstå, når man efter en længere flugt havner i en bosættelseslejr 🌞🌍🇺🇬'}}]","BqCfqOgFdno","[]","2018"
"257",94,"[{'node': {'text': ""Struktur og høj grad af organisering fandt vi ikke kun i Bidibidis opbygning, men i den grad også igennem Folkekirkens Nødhjælps lokale ansatte førte os igennem den samme proces, som de flygtningene, der kommer til bosættelsen. Først kommer de til et 'collection center', hvor de fx får taget fingeraftryk. Dette sker, da mange - især mænd - tager tilbage til Sydsudan for at kæmpe samtidig med, at de forsørger deres familie i Bidibidi. Næste stop er i et 'Transit' hvor flygtninge får udleveret basale nødvendigheder samt mad. Her fandt vi også store telte, da Bidibidi i perioder modtager flere tusinde flygtninge om dagen, som risikere at skulle blive i et par nætter. Derefter kommer 'reception center', hvor flygtningene kan sidde i timevis og vente på at blive registreret. Hvis de ikke tidligere har fået et armbånd, så vil de få det her. Et blåt armbånd betyder 'normal' - altså en person uden yderligere behov, mens et gult armbånd betyder at personen har et særligt behov. Det kan være et handicap, at personen leder efter familie i bosættelsen eller lignende. Det sidste armbånd er det hvide, som sættes om håndleddet på uledsagede børn. I 'reception center' fandt vi også store telte, hvor de to køn sover adskilt ad et hegn for at undgå voldtægter. Derudover er det det sidste sted, de opholder sig, før de skal ud i bosættelsen. Det er derfor også her, de får udleveret de ting, som de får med sig ud i bosættelsen - bl.a. gryder, majs og tæpper. Sidste trin, som vi blev ført igennem, var ude i bosættelsen. Det er her Folkekirkens Nødhjælps arbejde kommer ind i billedet, da de her igennem diverse projekter hjælper udvalgte flygtninge til bl.a. at tjene penge for arbejde, starte egne projekter, lave låne-sparre grupper og meget, meget mere. På den måde går vores støtte på længere sigt til at gøre Sydsudanske flygtninge selvforsynende🌍☀️🇺🇬""}}]","Bp7T7MClSVi","[]","2018"
"258",76,"[{'node': {'text': ""I 2016 udbrød en ny krig i Sydsudan og lige siden er et utal af mennesker flygtet - en stor del til Bidibidi. Vores forestilling om en af verdens største flygtningelejre var især karakteriseret af kaos. Men vi tog fejl. Strukturen i Bidibidi var overraskende og bosættelsen er i høj grad organiseret. Bosættelsen har 5 zoner med et forskelligt antal 'villages'. Hver zone har en OPM (Office of the Prime Minister) som består af en statslig myndighed, der har ansvaret for den specifikke zone. Derudover finder man blandt zonernes forskellige småsamfund et demokratisk system, hvor beboerne har udvalgt en formand samt repræsentanter til at sikre fx. børn, kvinder og handicappedes rettigheder. Bidibidi kaldes  på engelsk et 'settlement' og ikke en lejr, da flygtninge har etableret sig i lerhytter og så vidt muligt forsøger at leve et 'normalt' liv🌍☀️🇺🇬\n#fkngoglobal""}}]","Bp7LzYOFEcu","['fkngoglobal']","2018"
"259",101,"[{'node': {'text': 'Gør nødhjælp egentlig en forskel?\nMange er måske i tvivl om, hvor stor en forskel NGO-arbejde egentlig gør. Det var vi i hvert fald selv, før vi rejste til Uganda. Men efter at have talt med menneskene, som er flygtet fra krigen i Sydsudan og har måttet indfinde sig i en ny hverdag i Uganda, og oplevet de projekter, som Folkekirkens Nødhjælp sætter i gang, er vi ikke længere i tvivl. \nSom det ses på billedet, besøgte vi for eksempel to nyopstartede sparelånegrupper, som flygtningene selv har startet med hjælp fra Folkekirkens Nødhjælp. Sparelånegrupperne består af flygtninge, som har slået sig sammen i grupper for at få mulighed for at spare og låne penge sammen. Grupperne mødes en gang om ugen, hvor hver person hver især lægger penge til siden, som hun eller han kan undvære. Efterhånden som grupperne sammen får fyldt pengekassen op, begynder de at låne penge til hinanden. Dén der har mest brug for hjælp, har førsteret. Der er mange forskellige motivationsgrunde for at spare penge sammen; nogen håber på en dag at kunne give deres børn en uddannelse, andre drømmer om at starte en virksomhed, købe et stykke land der kan dyrkes eller meget andet. Folkekirkens Nødhjælp hjælper sparelånegrupperne med at starte op, giver dem bøger hvor forskellige beløb kan noteres, en pengekasse og underviser desuden nogle af medlemmerne i at holde styr på gruppen og pengene.\nSparelånegruppe-projektet er et godt eksempel på, at nødhjælp også kan være hjælp til selvhjælp. Selvom det måske ikke lige nu er mange penge, der kan lægges til siden, kan det på sigt være noget, der kan gøre en stor forskel i den enkeltes liv. På den måde er det en bæredygtig løsning, som passer ind i mottoet med ikke at give en fisk, men i stedet en fiskestang, der på sigt kan fange mange fisk.\nAf de utroligt mange ting, vi lærte under vores besøg hos sydsudanesiske flygtninge i Bidibidi i Uganda, er dét, at det rent faktisk nytter noget at hjælpe, og at hjælpen endda gør en kæmpe forskel, men også at der fortsat er brug for endnu mere hjælp, helt klart noget af det, vi har taget med os hjem og vil forsøge at sprede budskabet om🌍😊💸🇺🇬🌞.'}}]","Bp2iZwNlOwQ","[]","2018"
"260",19,"[{'node': {'text': '#community building with #Permaculture #sector39 #nrc #deadhedge #Uganda\n#regenerativeagriculture'}}]","Bp1V1AQFHd4","['nrc', 'regenerativeagriculture', 'community', 'deadhedge', 'Uganda', 'Permaculture', 'sector39']","2018"
"261",55,"[{'node': {'text': 'På @noedhjaelp deler vi i den her uge billeder og historier fra vores savnede oplevelser i Uganda;)🇺🇬🌻🌍'}}]","Bpz-y20hb_K","[]","2018"
